State,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Year,Start_Month
South Carolina,2021-06-23,2021-07-05,25.3,20.5,30.7,20.5 - 30.7,2021,Jun
South Dakota,2021-06-23,2021-07-05,21.4,16.3,27.3,16.3 - 27.3,2021,Jun
Tennessee,2021-06-23,2021-07-05,23.1,19.9,26.6,19.9 - 26.6,2021,Jun
Texas,2021-06-23,2021-07-05,22.4,19.6,25.4,19.6 - 25.4,2021,Jun
Utah,2021-06-23,2021-07-05,18.8,15.8,22.1,15.8 - 22.1,2021,Jun
Vermont,2021-06-23,2021-07-05,11.5,7.7,16.5,7.7 - 16.5,2021,Jun
Virginia,2021-06-23,2021-07-05,17.1,12.7,22.3,12.7 - 22.3,2021,Jun
Washington,2021-06-23,2021-07-05,18.8,16.2,21.6,16.2 - 21.6,2021,Jun
West Virginia,2021-06-23,2021-07-05,24.8,19.8,30.4,19.8 - 30.4,2021,Jun
Wisconsin,2021-06-23,2021-07-05,17.2,14.2,20.7,14.2 - 20.7,2021,Jun
Wyoming,2021-06-23,2021-07-05,21.3,16.8,26.4,16.8 - 26.4,2021,Jun
Alabama,2021-06-23,2021-07-05,31,26.4,35.9,26.4 - 35.9,2021,Jun
Alaska,2021-06-23,2021-07-05,24.4,19.9,29.4,19.9 - 29.4,2021,Jun
Arizona,2021-06-23,2021-07-05,27.4,22.5,32.8,22.5 - 32.8,2021,Jun
Arkansas,2021-06-23,2021-07-05,24.1,19.7,29,19.7 - 29.0,2021,Jun
California,2021-06-23,2021-07-05,24.7,22.1,27.5,22.1 - 27.5,2021,Jun
Colorado,2021-06-23,2021-07-05,24.1,20.7,27.9,20.7 - 27.9,2021,Jun
Connecticut,2021-06-23,2021-07-05,22.9,19.4,26.6,19.4 - 26.6,2021,Jun
Delaware,2021-06-23,2021-07-05,21.9,16.6,27.9,16.6 - 27.9,2021,Jun
District of Columbia,2021-06-23,2021-07-05,23.2,17.8,29.3,17.8 - 29.3,2021,Jun
Florida,2021-06-23,2021-07-05,22.9,20.2,25.8,20.2 - 25.8,2021,Jun
Georgia,2021-06-23,2021-07-05,24.8,20.6,29.4,20.6 - 29.4,2021,Jun
Hawaii,2021-06-23,2021-07-05,22,16.9,27.7,16.9 - 27.7,2021,Jun
Idaho,2021-06-23,2021-07-05,24.1,19.7,29,19.7 - 29.0,2021,Jun
Illinois,2021-06-23,2021-07-05,21.5,18.2,25.2,18.2 - 25.2,2021,Jun
Indiana,2021-06-23,2021-07-05,24.4,20.2,29,20.2 - 29.0,2021,Jun
Iowa,2021-06-23,2021-07-05,22.7,18.1,27.8,18.1 - 27.8,2021,Jun
Kansas,2021-06-23,2021-07-05,23.6,19.9,27.6,19.9 - 27.6,2021,Jun
Kentucky,2021-06-23,2021-07-05,28.6,23.5,34.1,23.5 - 34.1,2021,Jun
Louisiana,2021-06-23,2021-07-05,24.4,19.3,30.1,19.3 - 30.1,2021,Jun
Maine,2021-06-23,2021-07-05,19.1,15.5,23.1,15.5 - 23.1,2021,Jun
Maryland,2021-06-23,2021-07-05,25.4,22.2,28.8,22.2 - 28.8,2021,Jun
Massachusetts,2021-06-23,2021-07-05,22.9,19.5,26.5,19.5 - 26.5,2021,Jun
Michigan,2021-06-23,2021-07-05,23.4,19.5,27.7,19.5 - 27.7,2021,Jun
Minnesota,2021-06-23,2021-07-05,17.6,14.9,20.5,14.9 - 20.5,2021,Jun
Mississippi,2021-06-23,2021-07-05,28.5,23.3,34.1,23.3 - 34.1,2021,Jun
Missouri,2021-06-23,2021-07-05,25.1,21.6,29,21.6 - 29.0,2021,Jun
Montana,2021-06-23,2021-07-05,23.2,18.9,27.9,18.9 - 27.9,2021,Jun
Nebraska,2021-06-23,2021-07-05,22.7,18.9,26.8,18.9 - 26.8,2021,Jun
Nevada,2021-06-23,2021-07-05,30.8,25.5,36.6,25.5 - 36.6,2021,Jun
New Hampshire,2021-06-23,2021-07-05,25.3,20.7,30.4,20.7 - 30.4,2021,Jun
New Jersey,2021-06-23,2021-07-05,19.1,15.8,22.9,15.8 - 22.9,2021,Jun
New Mexico,2021-06-23,2021-07-05,33,28.2,38.1,28.2 - 38.1,2021,Jun
New York,2021-06-23,2021-07-05,22.4,19.3,25.8,19.3 - 25.8,2021,Jun
North Carolina,2021-06-23,2021-07-05,26.3,21.6,31.4,21.6 - 31.4,2021,Jun
North Dakota,2021-06-23,2021-07-05,22.9,17.3,29.2,17.3 - 29.2,2021,Jun
Ohio,2021-06-23,2021-07-05,25.3,21.2,29.8,21.2 - 29.8,2021,Jun
Oklahoma,2021-06-23,2021-07-05,33.5,27.4,40,27.4 - 40.0,2021,Jun
Oregon,2021-06-23,2021-07-05,32.6,29.5,35.7,29.5 - 35.7,2021,Jun
Pennsylvania,2021-06-23,2021-07-05,22.5,18.1,27.3,18.1 - 27.3,2021,Jun
Rhode Island,2021-06-23,2021-07-05,19.1,14.5,24.4,14.5 - 24.4,2021,Jun
South Carolina,2021-06-23,2021-07-05,28,23.2,33.2,23.2 - 33.2,2021,Jun
South Dakota,2021-06-23,2021-07-05,21.7,16.7,27.3,16.7 - 27.3,2021,Jun
Tennessee,2021-06-23,2021-07-05,26.6,23.2,30.3,23.2 - 30.3,2021,Jun
Texas,2021-06-23,2021-07-05,26.8,24,29.7,24.0 - 29.7,2021,Jun
Utah,2021-06-23,2021-07-05,24.5,21.1,28.1,21.1 - 28.1,2021,Jun
Vermont,2021-06-23,2021-07-05,23.6,16.8,31.5,16.8 - 31.5,2021,Jun
Virginia,2021-06-23,2021-07-05,22.5,17.6,28,17.6 - 28.0,2021,Jun
Washington,2021-06-23,2021-07-05,23.9,21,26.9,21.0 - 26.9,2021,Jun
West Virginia,2021-06-23,2021-07-05,29.6,23.7,35.9,23.7 - 35.9,2021,Jun
Wisconsin,2021-06-23,2021-07-05,19.2,15.3,23.7,15.3 - 23.7,2021,Jun
Wyoming,2021-06-23,2021-07-05,22.3,17.6,27.6,17.6 - 27.6,2021,Jun
Alabama,2021-06-23,2021-07-05,35.9,31.1,41,31.1 - 41.0,2021,Jun
Alaska,2021-06-23,2021-07-05,27.4,22.9,32.4,22.9 - 32.4,2021,Jun
Arizona,2021-06-23,2021-07-05,33.4,28.8,38.3,28.8 - 38.3,2021,Jun
Arkansas,2021-06-23,2021-07-05,26.4,21.8,31.3,21.8 - 31.3,2021,Jun
California,2021-06-23,2021-07-05,30.3,27.4,33.3,27.4 - 33.3,2021,Jun
Colorado,2021-06-23,2021-07-05,27.9,23.9,32.1,23.9 - 32.1,2021,Jun
Connecticut,2021-06-23,2021-07-05,26.8,23.4,30.5,23.4 - 30.5,2021,Jun
Delaware,2021-06-23,2021-07-05,25.8,19.9,32.5,19.9 - 32.5,2021,Jun
District of Columbia,2021-06-23,2021-07-05,28,22.1,34.6,22.1 - 34.6,2021,Jun
Florida,2021-06-23,2021-07-05,26.6,24,29.3,24.0 - 29.3,2021,Jun
Georgia,2021-06-23,2021-07-05,30.5,26,35.2,26.0 - 35.2,2021,Jun
Hawaii,2021-06-23,2021-07-05,32.9,25.3,41.3,25.3 - 41.3,2021,Jun
Idaho,2021-06-23,2021-07-05,28.9,24.3,33.9,24.3 - 33.9,2021,Jun
Illinois,2021-06-23,2021-07-05,24,20.4,28,20.4 - 28.0,2021,Jun
Indiana,2021-06-23,2021-07-05,28.8,24.4,33.4,24.4 - 33.4,2021,Jun
Iowa,2021-06-23,2021-07-05,25.3,20.5,30.6,20.5 - 30.6,2021,Jun
Kansas,2021-06-23,2021-07-05,27.5,23.8,31.5,23.8 - 31.5,2021,Jun
Kentucky,2021-06-23,2021-07-05,34.3,29.3,39.7,29.3 - 39.7,2021,Jun
Louisiana,2021-06-23,2021-07-05,29.8,24.8,35.1,24.8 - 35.1,2021,Jun
Maine,2021-06-23,2021-07-05,23.7,18.9,29.1,18.9 - 29.1,2021,Jun
Maryland,2021-06-23,2021-07-05,30.4,26.5,34.5,26.5 - 34.5,2021,Jun
Massachusetts,2021-06-23,2021-07-05,26.5,23.1,30.1,23.1 - 30.1,2021,Jun
Michigan,2021-06-23,2021-07-05,29,24.6,33.8,24.6 - 33.8,2021,Jun
Minnesota,2021-06-23,2021-07-05,21.6,18.3,25.2,18.3 - 25.2,2021,Jun
Mississippi,2021-06-23,2021-07-05,33,27.8,38.6,27.8 - 38.6,2021,Jun
Missouri,2021-06-23,2021-07-05,30,25.1,35.2,25.1 - 35.2,2021,Jun
Montana,2021-06-23,2021-07-05,26.9,21.7,32.6,21.7 - 32.6,2021,Jun
Nebraska,2021-06-23,2021-07-05,25.5,21.4,29.9,21.4 - 29.9,2021,Jun
Nevada,2021-06-23,2021-07-05,35.6,30.1,41.4,30.1 - 41.4,2021,Jun
New Hampshire,2021-06-23,2021-07-05,29.9,24.9,35.3,24.9 - 35.3,2021,Jun
New Jersey,2021-06-23,2021-07-05,21.9,18.6,25.6,18.6 - 25.6,2021,Jun
New Mexico,2021-06-23,2021-07-05,36.6,31.9,41.5,31.9 - 41.5,2021,Jun
New York,2021-06-23,2021-07-05,26.7,23.3,30.3,23.3 - 30.3,2021,Jun
North Carolina,2021-06-23,2021-07-05,31.2,26.4,36.4,26.4 - 36.4,2021,Jun
North Dakota,2021-06-23,2021-07-05,27.1,21.4,33.3,21.4 - 33.3,2021,Jun
Ohio,2021-06-23,2021-07-05,31.2,26.6,36.2,26.6 - 36.2,2021,Jun
Oklahoma,2021-06-23,2021-07-05,37.5,31,44.3,31.0 - 44.3,2021,Jun
Oregon,2021-06-23,2021-07-05,36,32.7,39.4,32.7 - 39.4,2021,Jun
Pennsylvania,2021-06-23,2021-07-05,25.8,21.4,30.5,21.4 - 30.5,2021,Jun
Rhode Island,2021-06-23,2021-07-05,26.2,20.3,32.8,20.3 - 32.8,2021,Jun
South Carolina,2021-06-23,2021-07-05,32,27.2,37.1,27.2 - 37.1,2021,Jun
South Dakota,2021-06-23,2021-07-05,25.2,19.9,31.1,19.9 - 31.1,2021,Jun
Tennessee,2021-06-23,2021-07-05,29.8,26,33.9,26.0 - 33.9,2021,Jun
Texas,2021-06-23,2021-07-05,31.6,28.5,34.8,28.5 - 34.8,2021,Jun
Utah,2021-06-23,2021-07-05,28.1,24.5,32,24.5 - 32.0,2021,Jun
Vermont,2021-06-23,2021-07-05,25.5,18.9,33.2,18.9 - 33.2,2021,Jun
Virginia,2021-06-23,2021-07-05,25.9,20.8,31.5,20.8 - 31.5,2021,Jun
Washington,2021-06-23,2021-07-05,28.3,25.3,31.4,25.3 - 31.4,2021,Jun
West Virginia,2021-06-23,2021-07-05,34.1,27.8,40.9,27.8 - 40.9,2021,Jun
Wisconsin,2021-06-23,2021-07-05,24.8,20.9,29,20.9 - 29.0,2021,Jun
Wyoming,2021-06-23,2021-07-05,27.5,22.3,33.1,22.3 - 33.1,2021,Jun
Alabama,2021-07-21,2021-08-02,25.3,20.9,30.2,20.9 - 30.2,2021,Jul
Alaska,2021-07-21,2021-08-02,25.2,21.7,28.9,21.7 - 28.9,2021,Jul
Arizona,2021-07-21,2021-08-02,22.4,18.6,26.5,18.6 - 26.5,2021,Jul
Arkansas,2021-07-21,2021-08-02,24.5,19.1,30.5,19.1 - 30.5,2021,Jul
California,2021-07-21,2021-08-02,24.2,21.5,27,21.5 - 27.0,2021,Jul
Colorado,2021-07-21,2021-08-02,19.9,16.9,23,16.9 - 23.0,2021,Jul
Connecticut,2021-07-21,2021-08-02,18.7,15.3,22.6,15.3 - 22.6,2021,Jul
Delaware,2021-07-21,2021-08-02,26.1,21.7,31,21.7 - 31.0,2021,Jul
District of Columbia,2021-07-21,2021-08-02,23,17.5,29.3,17.5 - 29.3,2021,Jul
Florida,2021-07-21,2021-08-02,22.2,18.1,26.7,18.1 - 26.7,2021,Jul
Georgia,2021-07-21,2021-08-02,27.3,22.9,32,22.9 - 32.0,2021,Jul
Hawaii,2021-07-21,2021-08-02,17.9,13.2,23.4,13.2 - 23.4,2021,Jul
Idaho,2021-07-21,2021-08-02,19.4,15.4,23.8,15.4 - 23.8,2021,Jul
Illinois,2021-07-21,2021-08-02,20.5,17.3,24,17.3 - 24.0,2021,Jul
Indiana,2021-07-21,2021-08-02,23.2,19.5,27.2,19.5 - 27.2,2021,Jul
Iowa,2021-07-21,2021-08-02,19.7,14.1,26.3,14.1 - 26.3,2021,Jul
Kansas,2021-07-21,2021-08-02,19.1,15.8,22.7,15.8 - 22.7,2021,Jul
Kentucky,2021-07-21,2021-08-02,24.1,19,29.9,19.0 - 29.9,2021,Jul
Louisiana,2021-07-21,2021-08-02,31.3,25.9,37.1,25.9 - 37.1,2021,Jul
Maine,2021-07-21,2021-08-02,17.2,12.5,22.7,12.5 - 22.7,2021,Jul
Maryland,2021-07-21,2021-08-02,18.3,15.3,21.6,15.3 - 21.6,2021,Jul
Massachusetts,2021-07-21,2021-08-02,19.4,15.4,23.8,15.4 - 23.8,2021,Jul
Michigan,2021-07-21,2021-08-02,20.6,17.6,24,17.6 - 24.0,2021,Jul
Minnesota,2021-07-21,2021-08-02,17.5,14.6,20.7,14.6 - 20.7,2021,Jul
Mississippi,2021-07-21,2021-08-02,28.6,23,34.7,23.0 - 34.7,2021,Jul
Missouri,2021-07-21,2021-08-02,22.3,18.6,26.3,18.6 - 26.3,2021,Jul
Montana,2021-07-21,2021-08-02,16.8,13.5,20.6,13.5 - 20.6,2021,Jul
Nebraska,2021-07-21,2021-08-02,17,13,21.5,13.0 - 21.5,2021,Jul
Nevada,2021-07-21,2021-08-02,29.3,24.6,34.4,24.6 - 34.4,2021,Jul
New Hampshire,2021-07-21,2021-08-02,16.8,12.4,22,12.4 - 22.0,2021,Jul
New Jersey,2021-07-21,2021-08-02,17.7,14.2,21.7,14.2 - 21.7,2021,Jul
New Mexico,2021-07-21,2021-08-02,23.5,19.6,27.8,19.6 - 27.8,2021,Jul
New York,2021-07-21,2021-08-02,16.3,13.1,20,13.1 - 20.0,2021,Jul
North Carolina,2021-07-21,2021-08-02,18.7,15.1,22.7,15.1 - 22.7,2021,Jul
North Dakota,2021-07-21,2021-08-02,16.1,10.9,22.5,10.9 - 22.5,2021,Jul
Ohio,2021-07-21,2021-08-02,23.2,19.1,27.8,19.1 - 27.8,2021,Jul
Oklahoma,2021-07-21,2021-08-02,28.2,23.7,33,23.7 - 33.0,2021,Jul
Oregon,2021-07-21,2021-08-02,21.7,19,24.6,19.0 - 24.6,2021,Jul
Pennsylvania,2021-07-21,2021-08-02,20.2,16.5,24.2,16.5 - 24.2,2021,Jul
Rhode Island,2021-07-21,2021-08-02,23.5,17.9,30,17.9 - 30.0,2021,Jul
South Carolina,2021-07-21,2021-08-02,20.7,16.6,25.4,16.6 - 25.4,2021,Jul
South Dakota,2021-07-21,2021-08-02,17.5,12.4,23.6,12.4 - 23.6,2021,Jul
Tennessee,2021-07-21,2021-08-02,20.5,17,24.4,17.0 - 24.4,2021,Jul
Texas,2021-07-21,2021-08-02,26.6,23.3,30.2,23.3 - 30.2,2021,Jul
Utah,2021-07-21,2021-08-02,24,20.5,27.6,20.5 - 27.6,2021,Jul
Vermont,2021-07-21,2021-08-02,22.5,17.6,28,17.6 - 28.0,2021,Jul
Virginia,2021-07-21,2021-08-02,20.3,16.9,24,16.9 - 24.0,2021,Jul
Washington,2021-07-21,2021-08-02,25.5,22.6,28.7,22.6 - 28.7,2021,Jul
West Virginia,2021-07-21,2021-08-02,25.4,20,31.4,20.0 - 31.4,2021,Jul
Wisconsin,2021-07-21,2021-08-02,19.3,15.9,23,15.9 - 23.0,2021,Jul
Wyoming,2021-07-21,2021-08-02,21.7,16.1,28.2,16.1 - 28.2,2021,Jul
Alabama,2021-07-21,2021-08-02,29.9,25.4,34.6,25.4 - 34.6,2021,Jul
Alaska,2021-07-21,2021-08-02,30.5,26.2,35,26.2 - 35.0,2021,Jul
Arizona,2021-07-21,2021-08-02,27.2,23.2,31.6,23.2 - 31.6,2021,Jul
Arkansas,2021-07-21,2021-08-02,29.6,24.6,35,24.6 - 35.0,2021,Jul
California,2021-07-21,2021-08-02,26.9,24.1,29.8,24.1 - 29.8,2021,Jul
Colorado,2021-07-21,2021-08-02,24.4,21,27.9,21.0 - 27.9,2021,Jul
Connecticut,2021-07-21,2021-08-02,21.7,17.8,26.1,17.8 - 26.1,2021,Jul
Delaware,2021-07-21,2021-08-02,25.9,21,31.3,21.0 - 31.3,2021,Jul
District of Columbia,2021-07-21,2021-08-02,28.2,20.7,36.8,20.7 - 36.8,2021,Jul
Florida,2021-07-21,2021-08-02,27.4,23.6,31.3,23.6 - 31.3,2021,Jul
Georgia,2021-07-21,2021-08-02,30,25.6,34.7,25.6 - 34.7,2021,Jul
Hawaii,2021-07-21,2021-08-02,23.6,17.5,30.6,17.5 - 30.6,2021,Jul
Idaho,2021-07-21,2021-08-02,24.7,20.5,29.2,20.5 - 29.2,2021,Jul
Illinois,2021-07-21,2021-08-02,26.3,22.8,29.9,22.8 - 29.9,2021,Jul
Indiana,2021-07-21,2021-08-02,25.6,21.7,29.7,21.7 - 29.7,2021,Jul
Iowa,2021-07-21,2021-08-02,24.8,18.7,31.9,18.7 - 31.9,2021,Jul
Kansas,2021-07-21,2021-08-02,26,22.1,30.1,22.1 - 30.1,2021,Jul
Kentucky,2021-07-21,2021-08-02,27.9,22.9,33.3,22.9 - 33.3,2021,Jul
Louisiana,2021-07-21,2021-08-02,36,30.4,41.9,30.4 - 41.9,2021,Jul
Maine,2021-07-21,2021-08-02,30.6,24.7,37,24.7 - 37.0,2021,Jul
Maryland,2021-07-21,2021-08-02,24.9,21.7,28.4,21.7 - 28.4,2021,Jul
Massachusetts,2021-07-21,2021-08-02,25.3,21.1,29.9,21.1 - 29.9,2021,Jul
Michigan,2021-07-21,2021-08-02,23.8,19.8,28.1,19.8 - 28.1,2021,Jul
Minnesota,2021-07-21,2021-08-02,24.3,21.3,27.5,21.3 - 27.5,2021,Jul
Mississippi,2021-07-21,2021-08-02,28.1,22.5,34.4,22.5 - 34.4,2021,Jul
Missouri,2021-07-21,2021-08-02,26.7,23,30.7,23.0 - 30.7,2021,Jul
Montana,2021-07-21,2021-08-02,20.1,15.2,25.7,15.2 - 25.7,2021,Jul
Nebraska,2021-07-21,2021-08-02,21.6,17.1,26.7,17.1 - 26.7,2021,Jul
Nevada,2021-07-21,2021-08-02,32.5,28.4,36.9,28.4 - 36.9,2021,Jul
New Hampshire,2021-07-21,2021-08-02,21.8,17.8,26.2,17.8 - 26.2,2021,Jul
New Jersey,2021-07-21,2021-08-02,21.6,18.2,25.3,18.2 - 25.3,2021,Jul
New Mexico,2021-07-21,2021-08-02,30.1,26.3,34.2,26.3 - 34.2,2021,Jul
New York,2021-07-21,2021-08-02,22.5,19.1,26.3,19.1 - 26.3,2021,Jul
North Carolina,2021-07-21,2021-08-02,23.4,19.2,28.1,19.2 - 28.1,2021,Jul
North Dakota,2021-07-21,2021-08-02,19.9,14.8,26,14.8 - 26.0,2021,Jul
Ohio,2021-07-21,2021-08-02,28.2,23.9,32.8,23.9 - 32.8,2021,Jul
Oklahoma,2021-07-21,2021-08-02,34.6,29.7,39.8,29.7 - 39.8,2021,Jul
Oregon,2021-07-21,2021-08-02,27.8,24.9,30.9,24.9 - 30.9,2021,Jul
Pennsylvania,2021-07-21,2021-08-02,24.8,21.5,28.5,21.5 - 28.5,2021,Jul
Rhode Island,2021-07-21,2021-08-02,24.8,19.4,31,19.4 - 31.0,2021,Jul
South Carolina,2021-07-21,2021-08-02,29.6,25.6,33.8,25.6 - 33.8,2021,Jul
South Dakota,2021-07-21,2021-08-02,20.5,14.8,27.2,14.8 - 27.2,2021,Jul
Tennessee,2021-07-21,2021-08-02,24.6,20.7,28.9,20.7 - 28.9,2021,Jul
Texas,2021-07-21,2021-08-02,33.9,29.6,38.5,29.6 - 38.5,2021,Jul
Utah,2021-07-21,2021-08-02,27.8,24.3,31.4,24.3 - 31.4,2021,Jul
Vermont,2021-07-21,2021-08-02,23.5,18.9,28.6,18.9 - 28.6,2021,Jul
Virginia,2021-07-21,2021-08-02,26,22.7,29.5,22.7 - 29.5,2021,Jul
Washington,2021-07-21,2021-08-02,30.3,27.4,33.4,27.4 - 33.4,2021,Jul
West Virginia,2021-07-21,2021-08-02,30.8,24.5,37.6,24.5 - 37.6,2021,Jul
Wisconsin,2021-07-21,2021-08-02,23.8,20.1,27.9,20.1 - 27.9,2021,Jul
Wyoming,2021-07-21,2021-08-02,27.8,21.4,35,21.4 - 35.0,2021,Jul
Alabama,2021-07-21,2021-08-02,35.3,30.9,39.9,30.9 - 39.9,2021,Jul
Alaska,2021-07-21,2021-08-02,34.2,30,38.5,30.0 - 38.5,2021,Jul
Arizona,2021-07-21,2021-08-02,32,27.8,36.3,27.8 - 36.3,2021,Jul
Arkansas,2021-07-21,2021-08-02,35,28.8,41.6,28.8 - 41.6,2021,Jul
California,2021-07-21,2021-08-02,33.4,30.8,36.2,30.8 - 36.2,2021,Jul
Colorado,2021-07-21,2021-08-02,27.9,24.7,31.2,24.7 - 31.2,2021,Jul
Connecticut,2021-07-21,2021-08-02,26.7,22.1,31.6,22.1 - 31.6,2021,Jul
Delaware,2021-07-21,2021-08-02,32.5,27.5,37.7,27.5 - 37.7,2021,Jul
District of Columbia,2021-07-21,2021-08-02,35.1,27.4,43.4,27.4 - 43.4,2021,Jul
Florida,2021-07-21,2021-08-02,30.9,26.8,35.1,26.8 - 35.1,2021,Jul
Georgia,2021-07-21,2021-08-02,36.3,32.2,40.6,32.2 - 40.6,2021,Jul
Hawaii,2021-07-21,2021-08-02,28,21.7,35.1,21.7 - 35.1,2021,Jul
Idaho,2021-07-21,2021-08-02,26.9,22.4,31.7,22.4 - 31.7,2021,Jul
Illinois,2021-07-21,2021-08-02,29.6,26,33.3,26.0 - 33.3,2021,Jul
Indiana,2021-07-21,2021-08-02,31.8,27.7,36.2,27.7 - 36.2,2021,Jul
Iowa,2021-07-21,2021-08-02,26.9,20.8,33.7,20.8 - 33.7,2021,Jul
Kansas,2021-07-21,2021-08-02,28.3,24.2,32.8,24.2 - 32.8,2021,Jul
Kentucky,2021-07-21,2021-08-02,33.7,28.2,39.6,28.2 - 39.6,2021,Jul
Louisiana,2021-07-21,2021-08-02,40.9,35.5,46.4,35.5 - 46.4,2021,Jul
Maine,2021-07-21,2021-08-02,34.5,28.1,41.3,28.1 - 41.3,2021,Jul
Maryland,2021-07-21,2021-08-02,27.4,24.3,30.7,24.3 - 30.7,2021,Jul
Massachusetts,2021-07-21,2021-08-02,27.9,23.5,32.6,23.5 - 32.6,2021,Jul
Michigan,2021-07-21,2021-08-02,28.8,24.9,32.9,24.9 - 32.9,2021,Jul
Minnesota,2021-07-21,2021-08-02,27,23.9,30.4,23.9 - 30.4,2021,Jul
Mississippi,2021-07-21,2021-08-02,34.8,29.2,40.7,29.2 - 40.7,2021,Jul
Missouri,2021-07-21,2021-08-02,31.1,27.3,35.1,27.3 - 35.1,2021,Jul
Montana,2021-07-21,2021-08-02,24.2,19.4,29.5,19.4 - 29.5,2021,Jul
Nebraska,2021-07-21,2021-08-02,25.1,20.1,30.7,20.1 - 30.7,2021,Jul
Nevada,2021-07-21,2021-08-02,37,32.4,41.8,32.4 - 41.8,2021,Jul
New Hampshire,2021-07-21,2021-08-02,25.9,21,31.2,21.0 - 31.2,2021,Jul
New Jersey,2021-07-21,2021-08-02,25.8,22.1,29.8,22.1 - 29.8,2021,Jul
New Mexico,2021-07-21,2021-08-02,33.6,29.6,37.8,29.6 - 37.8,2021,Jul
New York,2021-07-21,2021-08-02,24.9,21.5,28.6,21.5 - 28.6,2021,Jul
North Carolina,2021-07-21,2021-08-02,26.3,22,31,22.0 - 31.0,2021,Jul
North Dakota,2021-07-21,2021-08-02,23.5,17.6,30.2,17.6 - 30.2,2021,Jul
Ohio,2021-07-21,2021-08-02,32.3,27.5,37.4,27.5 - 37.4,2021,Jul
Oklahoma,2021-07-21,2021-08-02,38.9,34.1,43.8,34.1 - 43.8,2021,Jul
Oregon,2021-07-21,2021-08-02,31.5,28.7,34.4,28.7 - 34.4,2021,Jul
Pennsylvania,2021-07-21,2021-08-02,30.5,26.8,34.3,26.8 - 34.3,2021,Jul
Rhode Island,2021-07-21,2021-08-02,30.8,24.6,37.5,24.6 - 37.5,2021,Jul
South Carolina,2021-07-21,2021-08-02,30.9,27.1,34.9,27.1 - 34.9,2021,Jul
South Dakota,2021-07-21,2021-08-02,23.6,17.5,30.7,17.5 - 30.7,2021,Jul
Tennessee,2021-07-21,2021-08-02,27.6,23.5,32,23.5 - 32.0,2021,Jul
Texas,2021-07-21,2021-08-02,38.1,34.3,42.1,34.3 - 42.1,2021,Jul
Utah,2021-07-21,2021-08-02,32.2,28.6,36,28.6 - 36.0,2021,Jul
Vermont,2021-07-21,2021-08-02,25.8,20.7,31.4,20.7 - 31.4,2021,Jul
Virginia,2021-07-21,2021-08-02,30.3,26.4,34.5,26.4 - 34.5,2021,Jul
Washington,2021-07-21,2021-08-02,34.7,31.7,37.8,31.7 - 37.8,2021,Jul
West Virginia,2021-07-21,2021-08-02,35.4,28.7,42.5,28.7 - 42.5,2021,Jul
Wisconsin,2021-07-21,2021-08-02,27,22.9,31.4,22.9 - 31.4,2021,Jul
Wyoming,2021-07-21,2021-08-02,32.3,25.9,39.2,25.9 - 39.2,2021,Jul
Alabama,2021-08-04,2021-08-16,21.1,17.2,25.3,17.2 - 25.3,2021,Aug
Alaska,2021-08-04,2021-08-16,20.2,16.4,24.4,16.4 - 24.4,2021,Aug
Arizona,2021-08-04,2021-08-16,24.9,21.3,28.8,21.3 - 28.8,2021,Aug
Arkansas,2021-08-04,2021-08-16,24.9,20.2,30.1,20.2 - 30.1,2021,Aug
California,2021-08-04,2021-08-16,21.3,19.2,23.7,19.2 - 23.7,2021,Aug
Colorado,2021-08-04,2021-08-16,21.1,17.9,24.6,17.9 - 24.6,2021,Aug
Connecticut,2021-08-04,2021-08-16,16,12.4,20.1,12.4 - 20.1,2021,Aug
Delaware,2021-08-04,2021-08-16,19,13.8,25.1,13.8 - 25.1,2021,Aug
District of Columbia,2021-08-04,2021-08-16,23.2,17.5,29.6,17.5 - 29.6,2021,Aug
Florida,2021-08-04,2021-08-16,21.7,19.1,24.5,19.1 - 24.5,2021,Aug
Georgia,2021-08-04,2021-08-16,24.9,20.6,29.7,20.6 - 29.7,2021,Aug
Hawaii,2021-08-04,2021-08-16,23.6,18,29.8,18.0 - 29.8,2021,Aug
Idaho,2021-08-04,2021-08-16,21.4,16.8,26.6,16.8 - 26.6,2021,Aug
Illinois,2021-08-04,2021-08-16,20,16.3,24.1,16.3 - 24.1,2021,Aug
Indiana,2021-08-04,2021-08-16,18.5,15,22.5,15.0 - 22.5,2021,Aug
Iowa,2021-08-04,2021-08-16,17.4,14,21.3,14.0 - 21.3,2021,Aug
Kansas,2021-08-04,2021-08-16,18.5,14.6,23.1,14.6 - 23.1,2021,Aug
Kentucky,2021-08-04,2021-08-16,23.9,18.7,29.7,18.7 - 29.7,2021,Aug
Louisiana,2021-08-04,2021-08-16,30.4,25.9,35.2,25.9 - 35.2,2021,Aug
Maine,2021-08-04,2021-08-16,19,14.1,24.8,14.1 - 24.8,2021,Aug
Maryland,2021-08-04,2021-08-16,20.2,16.8,24,16.8 - 24.0,2021,Aug
Massachusetts,2021-08-04,2021-08-16,20.8,17.5,24.5,17.5 - 24.5,2021,Aug
Michigan,2021-08-04,2021-08-16,20.9,18.1,23.9,18.1 - 23.9,2021,Aug
Minnesota,2021-08-04,2021-08-16,17.7,14.8,20.9,14.8 - 20.9,2021,Aug
Mississippi,2021-08-04,2021-08-16,20.9,16.4,26,16.4 - 26.0,2021,Aug
